Participante,Sexo,Edad,Ocupacion,Va_Waving,Va_Pointing,Va_Negacion,Va_Explicar,Va_Tristeza,Va_Nodding,Int_Waving,Int_Pointing,Int_Negacion,Int_Explicar,Int_Tristeza,Int_Nodding,Atr_Velocidad,Atr_Interes,Atr_Expresiv,Atr_Entendib,GS_ANTRO,GS_ANIM,GS_LIKEAB,GS_INTELL,GS_SAFETY
1,1,﻿1,1,4,1,2,2,2,3,1,1,1,1,1,1,4,2,5,6,"2,8","3,333333333","4,2","4,4","2,333333333"
2,1,﻿1,1,4,3,2,5,3,4,1,0,0,1,1,1,4,5,3,3,"2,6","2,833333333","3,2","3,2","2,333333333"
3,1,﻿1,1,5,2,1,3,2,3,1,0,1,1,1,1,3,3,3,5,"2,8","2,666666667",3,"3,2",3
4,1,﻿2,3,5,5,5,5,4,4,1,1,1,1,1,1,6,6,6,6,4,"3,333333333","4,6",3,"2,666666667"
5,1,﻿2,3,5,5,5,5,4,4,1,1,1,1,1,1,6,6,6,6,4,"3,333333333","4,6",3,"2,666666667"
6,1,﻿1,2,4,3,4,4,4,4,1,1,1,1,1,1,5,5,5,5,"3,6",4,4,4,4
7,1,﻿1,1,4,2,2,3,1,3,1,1,1,1,1,1,5,5,5,4,"2,2","2,5","2,8",3,3
8,1,﻿1,1,5,3,1,4,1,5,1,1,1,1,1,1,4,4,4,4,"3,2",3,3,3,3
9,1,﻿1,1,4,3,2,4,2,3,1,1,1,1,1,1,4,4,5,5,"3,8",4,4,4,4
10,1,﻿1,1,3,3,2,4,2,4,1,0,1,0,1,1,5,4,5,3,"3,6",3,"2,8","3,8","2,333333333"
11,1,﻿2,3,4,2,1,3,2,4,1,1,1,1,1,1,4,5,5,2,"2,4",3,"3,6","2,6","2,333333333"
12,1,﻿2,1,3,2,1,4,1,3,1,0,1,1,0,1,3,4,4,3,"3,6","3,833333333","4,6","3,4",3
13,1,﻿2,2,3,3,3,3,3,3,1,1,1,1,0,1,3,2,2,5,"3,2","2,833333333","3,8","2,8",3
14,1,﻿2,1,4,3,2,4,2,4,1,0,1,1,1,1,4,3,5,2,"3,8","3,333333333",4,"3,8",3
15,1,﻿1,1,4,3,3,3,3,4,1,1,1,1,0,1,4,4,3,3,2,"2,166666667",3,"2,8","2,666666667"
16,1,﻿1,1,3,4,3,2,3,5,1,1,1,1,1,1,3,2,3,6,"2,2","2,833333333",3,"2,8","2,666666667"
17,1,﻿1,1,5,4,2,4,2,3,1,0,1,1,1,1,4,5,5,5,"3,2","3,833333333","3,8","3,2","2,333333333"
18,1,﻿1,1,1,1,5,1,1,3,1,1,1,1,0,1,3,5,4,6,1,"1,666666667","2,2","3,4",3
19,1,﻿2,2,4,3,2,3,3,3,1,1,1,1,1,1,4,5,3,5,"2,8","2,666666667","3,4","2,8","2,666666667"
20,1,﻿1,1,5,4,3,5,3,4,1,0,1,1,1,1,5,7,6,3,"3,2","3,666666667","3,8","3,6",2
21,1,﻿1,1,3,3,3,3,3,3,1,1,1,1,0,1,3,5,5,5,"3,2","3,333333333","3,2",4,"3,333333333"
22,1,﻿1,1,5,5,5,5,5,5,1,1,1,1,0,1,4,6,5,3,"2,6","2,666666667","4,8","3,8","2,666666667"
23,1,﻿3,2,4,3,3,3,3,4,1,1,0,1,0,1,4,4,4,4,"3,2",3,"3,4","2,8",2
24,1,﻿1,1,4,3,2,3,2,4,1,0,0,1,1,1,5,6,4,4,3,"3,333333333",4,"3,6","3,333333333"
25,1,﻿2,2,3,4,3,3,3,3,1,1,1,1,1,1,4,3,3,5,2,"2,666666667",3,"2,6","2,666666667"
26,1,﻿1,1,4,4,3,3,4,3,1,1,1,1,0,1,4,6,5,5,"3,6","3,666666667",4,"3,8","2,666666667"
27,2,﻿1,2,4,3,3,2,2,4,1,1,1,1,0,1,3,6,4,2,"2,8","3,166666667","3,8","3,4","2,666666667"
28,1,﻿1,1,4,3,3,5,2,4,1,1,1,1,0,1,5,6,6,7,"3,4","3,166666667","4,4","4,6",3
29,1,﻿1,1,4,4,2,4,2,4,1,1,1,0,0,1,4,6,5,3,"3,2","3,333333333",4,"3,8","3,333333333"
30,1,1,1,3,3,3,3,3,3,1,0,0,0,1,0,4,5,5,5,3,3,3,3,3
31,1,﻿1,2,4,4,2,4,2,4,1,1,1,1,0,1,3,5,5,3,"3,2","3,666666667",4,"3,2",3
32,1,﻿2,2,4,2,5,4,3,2,1,0,1,1,0,1,3,4,3,5,"1,6","1,5","2,6","2,2",2
33,1,﻿1,2,4,5,2,3,2,3,1,0,1,0,0,1,4,3,5,3,"2,4","3,333333333","3,6","3,4",3
34,2,﻿1,2,5,4,2,4,3,4,1,1,1,1,0,1,5,5,4,4,"3,6","3,166666667",4,"3,8","3,333333333"